Rank,Author,Total New Downloads
202,"Esq., Onyekachi W.",4806
203,"Brown, Lawrence D.",4806
204,"Cornell, Bradford",4802
205,"Clare, Andrew D.",4799
206,"Rajgopal, Shivaram",4777
207,"Telang, Rahul",4773
208,"Adrian, Tobias",4772
209,"Dechow, Patricia M.",4772
210,"Han, Yufeng",4772
211,"Agarwal, Sumit",4710
212,"McCahery, Joseph A.",4709
213,"Tamanaha, Brian Z.",4707
214,"Gilson, Ronald J.",4706
215,"Zhu, Heqing",4701
216,"O'Hara, Maureen",4680
217,"Blattman, Christopher",4658
218,"Sullins, Donald P.",4654
219,"Kelly, Bryan T.",4648
220,"Cartea, Álvaro",4646
221,"Schwarcz, Steven L.",4614
222,"Homescu, Cristian",4614
223,"van den Herik, Larissa",4592
224,"Zingales, Luigi",4586
225,"Jaimungal, Sebastian",4586
226,"Bali, Turan G.",4576
227,"Backer, Larry C.",4558
228,"Davidoff Solomon, Steven",4557
229,"Starks, Laura T.",4551
230,"Mas, Ignacio",4548
231,"Seaton, Daniel T.",4511
232,"Fried, Jesse M.",4500
233,"Simkovic, Michael",4493
234,"Bekaert, Geert",4492
235,"Nesterko, Sergiy O.",4491
236,"Ebner, Noam",4484
237,"McVea, John",4465
238,"Menkveld, Albert J.",4459
239,"Leo, Richard A.",4457
240,"Lerner, Josh",4451
241,"Waldo, Jim",4437
242,"O'Reilly, Tim",4436
243,"Lee, Charles M.",4428
244,"Sharma, Gagan D.",4410
245,"Hsu, Jason C.",4402
246,"Hail, Luzi",4389
247,"Parisi, Francesco",4384
248,"Baker, H. K.",4379
249,"Michalski, Grzegorz",4370
250,"Shin, Hyun S.",4370
251,"Peters, Ellen",4366
252,"Thomas, Steve H.",4365
253,"Kirilenko, Andrei A.",4363
254,"Wright, Joshua D.",4357
255,"Enriques, Luca",4345
256,"Norton, Michael I.",4344
257,"Subrahmanyam, Avanidhar",4329
258,"Stambaugh, Robert F.",4320
259,"Ferrarini, Guido A.",4315
260,"Srivastava, Meetika",4305
261,"Scholes, Myron S.",4298
262,"Hanlon, Michelle",4296
263,"Chen, James M.",4282
264,"Phalippou, Ludovic",4282
265,"Partnoy, Frank",4278
266,"Swinkels, Laurentius (Laurens) A.",4266
267,"Calo, Ryan",4262
268,"Weber, Martin",4258
269,"Petajisto, Antti",4250
270,"Faris, Robert",4241
271,"Rau, P. Raghavendra",4239
272,"Frank, Murray Z.",4227
273,"Murphy, Robert P.",4224
274,"Beyer, Gerry W.",4223
275,"Magness, Phillip W.",4221
276,"Shleifer, Andrei",4217
277,"Thomas, Randall S.",4206
278,"Singh, Sanjeet",4197
279,"Berger, Allen N.",4179
280,"Beck, Thorsten",4170
